Employee_ID,Age,Marital_Status,Distance_From_Home,Department,Job_Role,Business_Travel,Education_Field,Monthly_Income,Years_At_Company,Years_Since_Promotion,Job_Satisfaction,Performance_Rating,Work_Life_Balance,Attrition
EMP_7435,40.0,married,27.0,Manufacturing,Paralegal,Non-Travel,Life Sciences,17000.0,4,0,2.0,1,4,NO
EMP_9504,34.0,M,4.0,Manufacturing,Marketing Executive,Travel_Rarely,Med,10002.0,20,6,2.0,3,3,N
EMP_3466,35.0,Divorced,22.0,Operations,Software Engineer,Travel_Frequently,Med,8070.0,6,6,4.0,2,2,No
EMP_8285,TBD,S,2.0,Human Resources,IT Manager,Travel_Frequently,Life Sci,18642.0,11,3,1.0,4,4,no
EMP_1732,48.0,M,19.0,Operations,Supply Chain Manager,Travel_Rarely,Med,19388.0,3,1,1.0,2,4,N
EMP_9037,28.0,single ,28.0,IT,Sales Executive,Travel_Frequently,Life Sciences,21401.0,15,9,4.0,2,3,N
EMP_9361,39.0,single ,20.0,Sales,Finance Analyst,Travel_Rarely,MBA,11221.0,13,5,2.0,1,3,No
EMP_2676,42.0,D,30.0,Operations,Accountant,Travel_Frequently,Med,11062.0,18,2,1.0,1,2,YES
EMP_8435,27.0,married,4.0,Legal,Sales Representative,Non-Travel,Med,3968.0,20,8,2.0,2,4,N
EMP_5365,31.0,Divorced,21.0,Finance,Recruiter,Travel_Rarely,Life Sciences,23982.0,1,0,4.0,4,4,Y
EMP_7320,26.0, Married ,17.0,Sales,Production Technician,Non-Travel,Other,19091.0,20,10,1.0,4,1,NO
EMP_7526,23.0,M,26.0,Sales,Accountant,Non-Travel,MBA,5980.0,12,5,1.0,4,3,
EMP_4161,28.0,,9.0,HR ,Marketing Manager,Travel_Frequently,Medical,5941.0,8,5,1.0,3,1,yes
EMP_3851,40.0, Married ,28.0,Research & Development,Lab Technician,Travel_Frequently,Medical,20163.0,2,0,1.0,4,1,NO
EMP_3803,45.0,Married,15.0,Manufacturing,Customer Service Rep,Travel_Frequently,Technical Degree,7659.0,10,7,4.0,4,2,
EMP_7112,47.0,married,8.0,Research & Development,Production Technician,Travel_Frequently,Life Sciences,11576.0,4,3,2.0,2,2,N
EMP_3793,29.0,D,28.0,Manufacturing,Customer Service Rep,Travel_Rarely,Marketing,12088.0,200,8,4.0,1,2,No
EMP_8865,23.0,M,19.0,Human Resources,Finance Analyst,Travel_Frequently,Technical Degree,22181.0,1,1,3.0,1,3,N
EMP_4679,27.0,,14.0,Customer Support,IT Manager,Non-Travel,Life Sci,12931.0,12,10,4.0,1,1,NO
EMP_7433,59.0, Married ,16.0,Marketing,Lab Technician,Non-Travel,Other,6883.0,5,2,1.0,3,3,Yes
EMP_7894,50.0,Divorced,12.0,Human Resources,Accountant,Travel_Frequently,Medical,20637.0,9,1,2.0,4,1,Yes
EMP_4125,,married,7.0,Customer Support,Sales Representative,Travel_Frequently,Life Sciences,15710.0,19,2,2.0,2,2,Y
EMP_7502,50.0,S,5.0,Finance,Support Specialist,Travel_Rarely,Life Sciences,17398.0,5,0,4.0,3,4,no
EMP_8275,23.0,Married,28.0,Sales,Accountant,Non-Travel,Arts,15827.0,4,0,3.0,3,2,no
EMP_8756,44.0,Married,30.0,Finance,Sales Executive,Non-Travel,Med,15397.0,12,0,2.0,3,2,
