EmployeeID,Age,MaritalStatus,DistanceFromHome,Department,JobRole,BusinessTravel,EducationField,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,Performance_Rating,Work_Life_Balance,Attrition,Attrition_Predicted,Probability,Risk
EMP_2676,42.0,Divorced,30.0,Operations,Accountant,Travel_Frequently,Medical,11062.0,18,2,1.0,1,2,1,1,68.81,High Risk
EMP_5365,31.0,Divorced,21.0,Finance,Recruiter,Travel_Rarely,Life Sciences,23982.0,1,0,4.0,4,4,1,1,67.01,High Risk
EMP_4161,28.0,Unknown,9.0,Human Resources,Marketing Manager,Travel_Frequently,Medical,5941.0,8,5,1.0,3,1,1,1,75.3,High Risk
EMP_7433,59.0,Married,16.0,Marketing,Lab Technician,Non-Travel,Other,6883.0,5,2,1.0,3,3,1,1,73.12,High Risk
EMP_7894,50.0,Divorced,12.0,Human Resources,Accountant,Travel_Frequently,Medical,20637.0,9,1,2.0,4,1,1,1,67.09,High Risk
EMP_4125,41.0,Married,7.0,Customer Support,Sales Representative,Travel_Frequently,Life Sciences,15710.0,19,2,2.0,2,2,1,1,67.89,High Risk
EMP_2582,44.0,Married,16.0,Manufacturing,Accountant,Non-Travel,Medical,8633.0,14,0,3.0,4,4,1,1,60.64,High Risk
EMP_4556,24.0,Married,4.0,Legal,Marketing Executive,Travel_Rarely,Arts,15802.0,11,6,4.0,1,2,1,1,65.55,High Risk
EMP_2267,51.0,Married,11.0,IT,Legal Counsel,Travel_Frequently,Arts,20369.0,4,0,1.0,1,2,1,1,61.62,High Risk
EMP_8955,56.0,Unknown,29.0,Legal,Accountant,Non-Travel,Marketing,14267.0,14,4,4.0,3,4,1,1,61.95,High Risk
EMP_9346,37.0,Unknown,30.0,Manufacturing,Paralegal,Travel_Frequently,Medical,10419.0,2,2,4.0,4,1,1,1,71.84,High Risk
EMP_5568,37.0,Unknown,11.0,Operations,Support Specialist,Non-Travel,Medical,12146.0,14,0,1.0,4,3,1,1,69.41,High Risk
EMP_2575,46.0,Married,30.0,IT,Marketing Manager,Non-Travel,Medical,24515.0,1,1,1.0,2,2,1,1,71.65,High Risk
EMP_7681,29.0,Unknown,24.0,Human Resources,Production Technician,Travel_Frequently,Life Sciences,11534.0,15,1,3.0,1,1,1,1,67.87,High Risk
EMP_4595,56.0,Single,24.0,Marketing,Accountant,Non-Travel,Life Sciences,20895.0,20,3,4.0,3,4,1,1,65.94,High Risk
EMP_4715,49.0,Unknown,16.0,IT,Research Scientist,Travel_Frequently,Technical Degree,7350.0,19,10,2.0,3,4,1,1,65.1,High Risk
EMP_2467,43.0,Divorced,19.0,Legal,Sales Representative,Travel_Rarely,Arts,12653.0,16,2,3.0,3,2,1,1,70.27,High Risk
EMP_3143,34.0,Married,26.0,Finance,Support Specialist,Travel_Frequently,Life Sciences,19594.0,20,0,4.0,2,2,1,1,68.39,High Risk
EMP_8111,41.0,Divorced,15.0,Manufacturing,HR Manager,Travel_Rarely,Life Sciences,12374.0,8,3,2.0,1,2,1,1,61.08,High Risk
EMP_6484,59.0,Married,14.0,Sales,Lab Technician,Non-Travel,Marketing,4093.0,4,2,2.0,3,4,1,1,73.42,High Risk
EMP_1430,40.0,Married,23.0,Operations,Software Engineer,Non-Travel,Life Sciences,20238.0,15,1,1.0,3,2,1,1,61.29,High Risk
EMP_8172,46.0,Married,7.0,Human Resources,Unknown,Travel_Frequently,Life Sciences,11673.0,16,5,3.0,1,2,1,1,62.6,High Risk
EMP_3577,36.0,Single,8.0,IT,Recruiter,Travel_Rarely,Marketing,21302.0,13,0,4.0,2,2,1,1,62.87,High Risk
EMP_7140,55.0,Divorced,19.0,Legal,Research Scientist,Travel_Rarely,Life Sciences,11740.0,5,2,4.0,1,2,1,1,65.8,High Risk
EMP_6921,25.0,Married,4.0,Manufacturing,Finance Analyst,Travel_Rarely,Other,16638.0,11,8,3.0,3,3,1,1,63.14,High Risk
EMP_6368,45.0,Single,24.0,Marketing,Sales Representative,Non-Travel,Life Sciences,19092.0,18,5,3.0,2,3,1,1,61.07,High Risk
EMP_5335,28.0,Married,13.0,Customer Support,Paralegal,Non-Travel,Marketing,15239.0,14,0,1.0,3,3,1,1,68.18,High Risk
EMP_8890,41.0,Single,28.0,Customer Support,Support Specialist,Non-Travel,Marketing,20212.0,5,0,3.0,2,1,1,1,61.12,High Risk
EMP_4676,49.0,Divorced,2.0,Marketing,Support Specialist,Travel_Rarely,Marketing,9883.0,1,0,4.0,4,2,1,1,62.03,High Risk
EMP_3583,40.0,Unknown,12.0,IT,Support Specialist,Non-Travel,Arts,24718.0,5,0,1.0,3,1,1,1,67.23,High Risk
EMP_8330,40.0,Married,30.0,Finance,Finance Analyst,Non-Travel,Arts,6823.0,19,3,2.0,3,1,1,1,62.52,High Risk
EMP_2865,42.0,Married,24.0,Unknown,HR Manager,Non-Travel,Marketing,6303.0,14,2,4.0,3,1,1,1,65.51,High Risk
EMP_9477,31.0,Married,13.0,Sales,Recruiter,Non-Travel,Other,20657.0,4,4,4.0,3,3,1,1,64.12,High Risk
EMP_4062,27.0,Divorced,11.0,Finance,Legal Counsel,Travel_Frequently,MBA,22348.0,17,0,4.0,3,1,1,1,61.11,High Risk
EMP_4526,46.0,Married,6.0,IT,Marketing Manager,Travel_Rarely,Medical,24106.0,9,7,2.0,3,1,1,1,61.1,High Risk
EMP_5503,59.0,Married,21.0,Manufacturing,HR Manager,Travel_Frequently,Arts,14345.0,2,0,3.0,4,1,1,1,75.55,High Risk
EMP_1443,33.0,Divorced,11.0,Customer Support,Marketing Manager,Non-Travel,Medical,5877.0,1,0,1.0,3,1,1,1,69.33,High Risk
