EmployeeID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,Performance_Rating,Work_Life_Balance,Probability,Risk
EMP_3331,28.0,IT,Software Engineer,19630.0,13,1,1.0,1,2,40.0,Low Risk
EMP_3653,59.0,Finance,Paralegal,19009.0,11,2,4.0,2,2,40.0,Low Risk
EMP_8546,36.0,Operations,Accountant,13885.0,2,0,3.0,2,4,39.99,Low Risk
EMP_9119,23.0,IT,Manufacturing Director,8425.0,12,4,3.0,4,3,39.99,Low Risk
EMP_7250,51.0,Unknown,Software Engineer,5306.0,11,4,1.0,4,3,39.99,Low Risk
EMP_7787,41.0,Sales,Support Specialist,21626.0,20,3,1.0,1,1,39.98,Low Risk
EMP_1234,28.0,Marketing,Research Scientist,3839.0,3,1,3.0,1,2,39.97,Low Risk
EMP_1601,41.0,Marketing,Recruiter,13974.5,19,6,2.0,3,2,39.97,Low Risk
EMP_3342,53.0,Manufacturing,Manufacturing Director,18243.0,4,0,2.0,2,4,39.97,Low Risk
EMP_6639,37.0,Human Resources,HR Manager,3192.0,13,6,3.0,1,2,39.97,Low Risk
EMP_8918,53.0,IT,Support Specialist,6433.0,2,2,1.0,1,1,39.97,Low Risk
EMP_9691,41.0,Operations,Sales Executive,9750.0,12,9,2.0,2,3,39.96,Low Risk
EMP_2856,30.0,Sales,Support Specialist,19701.0,2,0,1.0,3,4,39.96,Low Risk
EMP_8167,24.0,Finance,Marketing Executive,20758.0,7,0,1.0,4,4,39.96,Low Risk
EMP_5102,23.0,Finance,IT Manager,19456.0,11,9,4.0,4,2,39.96,Low Risk
EMP_7694,52.0,IT,Production Technician,8366.0,7,3,1.0,2,1,39.96,Low Risk
EMP_6910,35.0,Operations,Production Technician,16458.0,6,6,3.0,4,3,39.95,Low Risk
EMP_1848,28.0,Operations,Software Engineer,10270.0,2,2,1.0,1,2,39.95,Low Risk
EMP_5773,30.0,Unknown,Lab Technician,11712.0,18,2,4.0,4,3,39.95,Low Risk
EMP_2769,36.0,Operations,Recruiter,8072.0,12,3,4.0,4,4,39.95,Low Risk
EMP_1838,55.0,Finance,Recruiter,10832.0,3,2,1.0,2,2,39.94,Low Risk
EMP_4397,29.0,Unknown,Research Scientist,14381.0,5,0,4.0,4,2,39.94,Low Risk
EMP_7781,50.0,Manufacturing,Recruiter,19500.0,11,3,4.0,3,4,39.93,Low Risk
EMP_7440,27.0,Finance,Software Engineer,19405.0,4,1,2.0,4,2,39.92,Low Risk
EMP_3393,28.0,Manufacturing,Paralegal,8362.0,19,5,1.0,1,3,39.92,Low Risk
EMP_4871,37.0,Customer Support,Legal Counsel,15256.0,4,0,2.0,2,4,39.92,Low Risk
EMP_9687,24.0,Legal,Supply Chain Manager,19795.0,7,7,1.0,1,4,39.92,Low Risk
EMP_7985,27.0,Marketing,Paralegal,22706.0,8,1,3.0,1,2,39.92,Low Risk
EMP_9985,55.0,Customer Support,Recruiter,23134.0,19,10,1.0,1,1,39.91,Low Risk
EMP_8572,22.0,Unknown,Finance Analyst,14091.0,3,1,3.0,3,2,39.91,Low Risk
EMP_9028,22.0,Finance,Supply Chain Manager,13974.5,11,6,3.0,3,3,39.91,Low Risk
EMP_6147,54.0,Operations,Sales Executive,10455.0,9,5,3.0,4,1,39.91,Low Risk
EMP_7769,60.0,Finance,Manufacturing Director,21944.0,10,0,2.0,2,4,39.91,Low Risk
EMP_1867,48.0,Legal,Manufacturing Director,20682.0,19,5,1.0,4,2,39.91,Low Risk
EMP_8405,50.0,Manufacturing,Paralegal,14863.0,17,9,1.0,3,4,39.9,Low Risk
EMP_8904,41.0,Legal,Accountant,14360.0,6,2,2.0,1,4,39.9,Low Risk
EMP_4582,53.0,Human Resources,Recruiter,4082.0,10,9,1.0,2,3,39.9,Low Risk
EMP_7841,58.0,Human Resources,Marketing Executive,10250.0,5,0,3.0,4,2,39.9,Low Risk
EMP_2711,58.0,Marketing,Software Engineer,13974.5,8,3,4.0,4,4,39.9,Low Risk
EMP_5020,56.0,Finance,IT Manager,7253.0,11,8,2.0,4,2,39.9,Low Risk
EMP_2090,42.0,Legal,HR Manager,5643.0,5,5,4.0,2,4,39.9,Low Risk
EMP_4092,25.0,Human Resources,Manufacturing Director,6435.0,18,7,1.0,4,3,39.9,Low Risk
EMP_2067,42.0,Manufacturing,Operations Manager,10161.0,19,4,2.0,3,2,39.89,Low Risk
EMP_4046,38.0,Human Resources,Research Scientist,16795.0,16,9,4.0,3,4,39.89,Low Risk
EMP_2921,34.0,Unknown,Research Scientist,23068.0,8,1,2.0,2,2,39.88,Low Risk
EMP_7850,39.0,Marketing,Sales Representative,50000.0,5,4,2.0,4,4,39.87,Low Risk
EMP_5828,22.0,Unknown,Supply Chain Manager,6628.0,20,7,1.0,1,4,39.87,Low Risk
EMP_6638,38.0,Marketing,Staff,14806.0,18,8,3.0,2,3,39.87,Low Risk
EMP_3357,53.0,Finance,Customer Service Rep,24725.0,2,0,1.0,3,4,39.87,Low Risk
EMP_1294,55.0,Manufacturing,Research Scientist,6145.0,4,1,4.0,3,4,39.86,Low Risk
EMP_9448,54.0,Unknown,Production Technician,10243.0,9,6,2.0,3,3,39.86,Low Risk
EMP_9781,41.0,Finance,Recruiter,16368.0,6,0,2.0,3,2,39.86,Low Risk
EMP_9662,50.0,Unknown,Recruiter,10536.0,10,7,3.0,2,2,39.85,Low Risk
EMP_4180,43.0,Finance,Accountant,9277.0,7,7,2.0,3,1,39.85,Low Risk
EMP_9382,23.0,IT,Support Specialist,17510.0,13,7,1.0,2,2,39.84,Low Risk
EMP_7950,47.0,Marketing,Operations Manager,100000.0,4,2,2.0,4,4,39.84,Low Risk
EMP_4361,41.0,Operations,Recruiter,13726.0,5,0,2.0,1,1,39.84,Low Risk
EMP_9252,41.0,Marketing,Software Engineer,14875.0,9,9,2.0,4,4,39.84,Low Risk
EMP_9915,27.0,IT,Finance Analyst,14693.0,14,7,2.0,2,2,39.84,Low Risk
EMP_8440,39.0,Manufacturing,Sales Representative,19756.0,14,10,3.0,4,3,39.83,Low Risk
EMP_6538,60.0,Manufacturing,Recruiter,17399.0,4,3,4.0,1,1,39.83,Low Risk
EMP_4425,52.0,Finance,Operations Manager,3967.0,11,9,1.0,2,3,39.83,Low Risk
EMP_9607,57.0,Operations,IT Manager,17709.0,9,9,3.0,4,1,39.83,Low Risk
EMP_3477,26.0,IT,Customer Service Rep,11066.0,6,2,1.0,1,2,39.82,Low Risk
EMP_9722,42.0,Manufacturing,Customer Service Rep,7931.0,9,3,3.0,2,2,39.82,Low Risk
EMP_6803,41.0,Customer Support,Sales Executive,19162.0,14,0,3.0,3,1,39.82,Low Risk
EMP_5478,50.0,Human Resources,Recruiter,9765.0,13,9,2.0,2,4,39.82,Low Risk
EMP_7517,40.0,Marketing,Manufacturing Director,23965.0,7,1,1.0,3,4,39.82,Low Risk
EMP_7712,29.0,Operations,HR Manager,12395.0,6,3,1.0,2,3,39.82,Low Risk
EMP_1775,45.0,Human Resources,IT Manager,17916.0,19,4,2.0,3,4,39.81,Low Risk
EMP_1580,25.0,Unknown,Operations Manager,15896.0,16,5,2.0,3,1,39.81,Low Risk
EMP_7343,29.0,Finance,Paralegal,4359.0,40,2,2.0,2,3,39.81,Low Risk
EMP_7288,25.0,IT,Customer Service Rep,6780.0,6,1,4.0,3,2,39.81,Low Risk
EMP_8183,48.0,Marketing,Research Scientist,21373.0,19,1,2.0,1,3,39.81,Low Risk
EMP_2678,45.0,Manufacturing,Accountant,24122.0,19,8,3.0,4,1,39.8,Low Risk
EMP_2045,39.0,Human Resources,Operations Manager,23539.0,18,9,3.0,2,1,39.8,Low Risk
EMP_8504,49.0,Manufacturing,Lab Technician,13974.5,9,9,1.0,2,3,39.8,Low Risk
EMP_7268,25.0,Operations,Research Scientist,22980.0,13,7,1.0,4,2,39.8,Low Risk
EMP_1832,36.0,IT,Lab Technician,21520.0,15,8,3.0,2,3,39.8,Low Risk
EMP_5153,40.0,Unknown,Paralegal,6062.0,16,2,4.0,3,4,39.79,Low Risk
EMP_7299,44.0,Human Resources,Customer Service Rep,21201.0,3,3,4.0,3,1,39.78,Low Risk
EMP_3436,28.0,Unknown,IT Manager,19460.0,20,2,2.0,3,2,39.78,Low Risk
EMP_5865,40.0,Customer Support,Accountant,6477.0,11,10,1.0,1,4,39.78,Low Risk
EMP_1686,47.0,Operations,Finance Analyst,13974.5,1,1,4.0,2,1,39.77,Low Risk
EMP_7741,54.0,Human Resources,Marketing Executive,4285.0,15,5,1.0,4,2,39.77,Low Risk
EMP_6321,23.0,IT,Paralegal,18035.0,15,7,1.0,1,3,39.77,Low Risk
EMP_4775,35.0,Marketing,Paralegal,14852.0,10,4,2.0,4,4,39.77,Low Risk
EMP_5057,56.0,Human Resources,Paralegal,5267.0,7,7,4.0,1,3,39.77,Low Risk
EMP_1498,26.0,IT,Finance Analyst,14934.0,1,0,1.0,1,1,39.76,Low Risk
EMP_9866,38.0,Finance,Lab Technician,13069.0,16,6,3.0,4,3,39.76,Low Risk
EMP_6911,24.0,Sales,HR Manager,5234.0,9,7,3.0,2,2,39.75,Low Risk
EMP_4172,44.0,Customer Support,Recruiter,19746.0,10,3,4.0,3,3,39.74,Low Risk
EMP_6296,55.0,Legal,Customer Service Rep,18989.0,19,5,1.0,1,2,39.74,Low Risk
EMP_7274,55.0,Operations,Manufacturing Director,20312.0,1,1,2.0,3,4,39.74,Low Risk
EMP_6555,56.0,Human Resources,Manufacturing Director,7778.0,15,3,2.0,1,4,39.74,Low Risk
EMP_6764,29.0,Human Resources,Legal Counsel,14971.0,3,0,3.0,4,2,39.74,Low Risk
