EmployeeID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,Performance_Rating,Work_Life_Balance,Probability,Risk
EMP_7895,59.0,Customer Support,Marketing Manager,4406.0,2,2,2.0,1,4,59.73,Medium Risk
EMP_2207,31.0,Marketing,Marketing Manager,21970.0,12,0,1.0,4,2,59.53,Medium Risk
EMP_4161,28.0,Human Resources,Marketing Manager,5941.0,8,5,1.0,3,1,59.47,Medium Risk
EMP_6877,56.0,Customer Support,Marketing Manager,5419.0,20,6,1.0,1,1,59.11,Medium Risk
EMP_4772,22.0,Operations,Marketing Manager,21441.0,14,8,2.0,4,4,58.54,Medium Risk
EMP_8312,29.0,Marketing,Research Scientist,9310.0,1,0,1.0,4,3,58.26,Medium Risk
EMP_3636,29.0,Sales,Marketing Manager,6862.0,2,0,4.0,4,1,58.11,Medium Risk
EMP_8732,52.0,Customer Support,Lab Technician,10747.0,20,3,2.0,4,4,58.04,Medium Risk
EMP_9888,58.0,Operations,Lab Technician,5081.0,2,0,1.0,2,1,57.97,Medium Risk
EMP_2366,60.0,Legal,Marketing Manager,4365.0,19,0,3.0,4,3,57.92,Medium Risk
EMP_4695,51.0,Human Resources,Lab Technician,4621.0,16,4,1.0,3,2,57.88,Medium Risk
EMP_5890,33.0,Manufacturing,Lab Technician,14205.0,16,0,2.0,2,3,57.85,Medium Risk
EMP_1443,33.0,Customer Support,Marketing Manager,5877.0,1,0,1.0,3,1,57.82,Medium Risk
EMP_7791,54.0,Operations,Marketing Manager,14328.0,4,0,3.0,4,2,57.81,Medium Risk
EMP_8436,41.0,Legal,Sales Representative,13974.5,3,0,2.0,3,1,57.79,Medium Risk
EMP_7552,54.0,Human Resources,Marketing Manager,20315.0,1,0,1.0,3,2,57.67,Medium Risk
EMP_2813,32.0,Sales,Marketing Manager,3736.0,19,0,4.0,2,1,57.46,Medium Risk
EMP_6593,55.0,Customer Support,Lab Technician,5537.0,14,5,2.0,3,2,57.37,Medium Risk
EMP_2241,53.0,IT,Marketing Manager,5878.0,19,2,1.0,1,4,57.28,Medium Risk
EMP_5925,46.0,Finance,IT Manager,10898.0,7,2,2.0,4,1,57.24,Medium Risk
EMP_9372,55.0,Human Resources,Operations Manager,11567.0,6,1,3.0,4,4,57.16,Medium Risk
EMP_3112,40.0,Human Resources,Lab Technician,3591.0,17,1,2.0,1,3,57.0,Medium Risk
EMP_3582,53.0,Customer Support,Lab Technician,16858.0,6,0,3.0,3,4,56.88,Medium Risk
EMP_5978,49.0,Human Resources,Supply Chain Manager,19035.0,5,1,2.0,4,2,56.76,Medium Risk
EMP_6983,48.0,Human Resources,Sales Representative,23651.0,7,0,4.0,4,4,56.66,Medium Risk
EMP_5989,22.0,IT,Lab Technician,9197.0,4,2,3.0,1,1,56.59,Medium Risk
EMP_4187,51.0,IT,Sales Representative,22488.0,12,1,2.0,2,2,56.58,Medium Risk
EMP_8422,41.0,Manufacturing,Supply Chain Manager,23911.0,5,0,3.0,3,1,56.56,Medium Risk
EMP_2974,51.0,Manufacturing,Lab Technician,16929.0,13,0,1.0,3,2,56.43,Medium Risk
EMP_1485,58.0,Marketing,Marketing Manager,11757.0,5,4,4.0,3,4,56.43,Medium Risk
EMP_4486,51.0,Operations,Supply Chain Manager,18416.0,9,1,2.0,4,4,56.43,Medium Risk
EMP_4913,54.0,Human Resources,Marketing Manager,16001.0,12,8,1.0,2,2,56.42,Medium Risk
EMP_7487,55.0,Marketing,Marketing Manager,4050.0,5,2,2.0,1,1,56.42,Medium Risk
EMP_2452,60.0,Manufacturing,Marketing Manager,10140.0,16,8,1.0,4,2,56.39,Medium Risk
EMP_8998,56.0,Human Resources,Lab Technician,23343.0,11,2,4.0,3,2,56.37,Medium Risk
EMP_1558,51.0,Operations,Research Scientist,21488.0,13,0,3.0,4,4,56.34,Medium Risk
EMP_5495,51.0,Manufacturing,Supply Chain Manager,10806.0,5,0,3.0,4,1,56.31,Medium Risk
EMP_1253,38.0,Manufacturing,Supply Chain Manager,21075.0,3,2,3.0,3,4,56.25,Medium Risk
